Date,Route,Rating,Notes,URL,Pitches,Location,Avg Stars,Your Stars,Style,Lead Style,Route Type,Your Rating,Length,Rating Code
4/22/24,Filbert,5.11-,"Need to know beta for crux down low (part with the 3 pockets). Make sure to get the small pocket far out left first, and clip from that. Then right hand -> switch feet + come into lowest RHS pocket w/ left hand. Note that biggest pocket on RHS is best used as a pinch. ",https://www.mountainproject.com/route/122727963/filbert,1,Kentucky > Red River Gorge > Bald Rock Recreational Preserve (BRRP) > Hazel Hollow,3.2,-1,Lead,Flash,Sport,,80,4700
4/22/24,Coll,5.10b/c,Surprisingly hard and pumpy for the grade,https://www.mountainproject.com/route/122727932/coll,1,Kentucky > Red River Gorge > Bald Rock Recreational Preserve (BRRP) > Hazel Hollow,2.9,-1,Lead,Onsight,Sport,,80,3100
4/22/24,Brolo El Cunado,5.8,,https://www.mountainproject.com/route/112562988/brolo-el-cunado,1,Kentucky > Red River Gorge > Pendergrass-Murray Recreational Preserve (PMRP) > Chica Bonita Wall,2,-1,Lead,Onsight,Sport,,30,2100
4/22/24,Raindancer,5.10a,Bouldery start on crimps that’s quite hard for the grade - not a good warmup,https://www.mountainproject.com/route/106065295/raindancer,1,Kentucky > Red River Gorge > Pendergrass-Murray Recreational Preserve (PMRP) > Chica Bonita Wall,1.9,-1,Lead,Onsight,Sport,,30,2600
4/22/24,Baby Blue Eyes,5.10c,Very fun slab. Takes some thought. Stand up on good feet and hope for holds above.,https://www.mountainproject.com/route/106065321/baby-blue-eyes,1,Kentucky > Red River Gorge > Pendergrass-Murray Recreational Preserve (PMRP) > Chica Bonita Wall,3.1,-1,Lead,Onsight,Sport,,75,3200
4/22/24,Loompa,5.10+,"Very fun, but feels more like 11a.

Crux is middle (around bolt 3?). There’s a big wayco, but only the top part of its LHS is good - need to throw for that. RHS of that wayco is a really good pinch.",https://www.mountainproject.com/route/106927842/loompa,1,Kentucky > Red River Gorge > Bald Rock Recreational Preserve (BRRP) > Chocolate Factory,3.5,-1,Lead,Redpoint,Sport,,60,3300
3/25/24,Robotic Thumb,5.10b,"Very fun, but feels slightly hard for the grade.

Slightly run out but not too bad because the difficulty is okay. For the big throw part, be weary that it’s a positive big crimp, but not a jug!",https://www.mountainproject.com/route/107892930/robotic-thumb,1,Kentucky > Red River Gorge > Bald Rock Recreational Preserve (BRRP) > Chocolate Factory,3.5,-1,Lead,Onsight,Sport,,60,2900
3/25/24,Oompa,5.10b,"Very fun but hard for the grade. Repeat!

Pumpy, so try to climb quickly. Be ready for crux at the top, when you need to move right. Eases up afterwards.",https://www.mountainproject.com/route/106782060/oompa,1,Kentucky > Red River Gorge > Bald Rock Recreational Preserve (BRRP) > Chocolate Factory,3.1,-1,Lead,Onsight,Sport,,60,2900
3/25/24,EGBG,5.10a,"Fun route - good for warm-up.

Crux before 2nd bold - kind of big throw. Then it gets a bit pumpy but just need to rest and it’s fine. ",https://www.mountainproject.com/route/108766319/egbg,1,Kentucky > Red River Gorge > Bald Rock Recreational Preserve (BRRP) > Chocolate Factory,3.6,-1,Lead,Onsight,Sport,,90,2600
3/24/24,Botanical Gardens,5.10a,"Amazing route - Definitely repeat.

Boulder Problem at the bottom. Definitely stick clip.

Very pleasant slab climbing with positive holds all the way. Encourages good climbing where feet follow hands. 

Bolts are spaced out at times, but climbing feels secure all the way, especially because of the very good tik marks. Very long route.",https://www.mountainproject.com/route/111219181/botanical-gardens,1,Kentucky > Red River Gorge > Natural Bridge Region > The Zoo > Bird Cage Sector,3.5,-1,Lead,Onsight,Sport,,95,2600
3/24/24,Monkey in the Middle,5.11a,"Very fun - definitely repeat. Jimmy will like this.

Sent on 2nd attempt.

Jugs all the way through, but long, pumpy, and steep at times.

Need to find good rests to send. First one is obvious. Second one is slightly trickier to find. Need to find a place with decent holds where you can place whole foot flat on surface, kinda like a heel hook. Rest longer than you think you need.

Crux is steeper section in upper part - just keep going quickly here, because it eases up after, and you can rest.

Before the anchors, there’s a slightly tricky bit where you have to get over the bulge. Use jugs and step high, then it’s okay.",https://www.mountainproject.com/route/106127925/monkey-in-the-middle,1,Kentucky > Red River Gorge > Natural Bridge Region > The Zoo > The Old Zoo,3.5,-1,Lead,Redpoint,Sport,,80,4600
3/24/24,Skin The Cat,5.11a,"Pretty good - try to send next time!

Two full rests. On normal one chilling on ledge. Next one lying down in the crack with toe hook for security.

Crux at top. My beta was:
1. using right foot on side wall to get chicken head
2. Then need to use (1) right hand bad sloper and (2)  high left foot to go for very reachy left hand (but it’s a good hold)
3. Keep moving up the blank section and find left hand slit in between bulge
4. Keep moving up - not many holds. Match feet to get right foot on right side wall. Then can reach out to RHS arete with right hand
5. Rest is okay
",https://www.mountainproject.com/route/105918091/skin-the-cat,1,Kentucky > Red River Gorge > Natural Bridge Region > The Zoo > The Old Zoo,2.5,-1,Lead,Fell/Hung,Sport,,80,4600
3/24/24,Chimp,5.10b,"Fun slab, albeit a bit sketchy at times. Good for mixing in some slab into RRG trip.

High first clip. A bit sketch but ultimately okay. Afterwards there’s a sketchy move where you have to just stand up on a right foot and trust it. Shortly after there’s another crux, but it’s okay if you take your time and find the holds. Rest is easy.",https://www.mountainproject.com/route/105918086/chimp,1,Kentucky > Red River Gorge > Natural Bridge Region > The Zoo > The Old Zoo,2.5,-1,Lead,Flash,Sport,,60,2900
3/23/24,Family Tradition,5.1,"Didn’t send, but probably don’t repeat.

Cool start and then easy until tricky crux where you stand up on awkward crack-ish right foot and dead point for shark fin. Then sketchy moves going around right on the arete (would be a bad fall maybe?).",https://www.mountainproject.com/route/106309585/family-tradition,1,Kentucky > Red River Gorge > Pendergrass-Murray Recreational Preserve (PMRP) > Volunteer Wall,2.6,-1,Lead,Fell/Hung,Sport,,50,3000
3/23/24,Johnny on Roofies,5.11a,"Fun jug fest except for crux and awkward start. Repeat if in the area.

Awkward start getting into the bulge. Mind your head and wear helmet. Easy afterwards until steep bulge (maybe heel hook or just step up high on bulge). This is followed by another steep bulge). Soft for the grade.",https://www.mountainproject.com/route/106446581/johnny-on-roofies,1,Kentucky > Red River Gorge > Pendergrass-Murray Recreational Preserve (PMRP) > Volunteer Wall,2.5,-1,Lead,Onsight,Sport,,60,4600
3/23/24,Smack Dab,5.11b,"Nice route that’s more technical than usual RRG. Try to send next time.

Some thin moves - gets quite tricky towards the top. At one point, you just have to stand up on sketchy left foot without any decent hand holds - after standing up, there are decent hand holds.

Probably need to re-learn beta and then go for redpoint.",https://www.mountainproject.com/route/118844637/smack-dab,1,Kentucky > Red River Gorge > Pendergrass-Murray Recreational Preserve (PMRP) > The Gallery,2.6,-1,Lead,Fell/Hung,Sport,,50,4900
3/23/24,The Last Supper,5.11a,"Fun route with diverse climbing. Spicy anchor clipping. Repeat if time!

Tricky crux low down, moving from right side pull to next right side pull above. Use sketchy high left foot, then throw for next right side pull with left hand. Then step through with right foot into big pocket. Slab part above is easy. Anchor is hard to clip - get right hand pinch and directly clip into mussy hook as soon as possible. Note that last few moves before anchor are steeper and harder as well (move quickly through those).",https://www.mountainproject.com/route/119365746/the-last-supper,1,Kentucky > Red River Gorge > Pendergrass-Murray Recreational Preserve (PMRP) > The Gallery,3.5,-1,Lead,Flash,Sport,,90,4600
3/23/24,The Preacher's Daughter,5.11a/b,"Amazing route, definitely repeat. 

Crux is traverse to the left that finishes with rocking onto heel hook. Avoid using flakes with white “X”.",https://www.mountainproject.com/route/107879859/the-preachers-daughter,1,Kentucky > Red River Gorge > Pendergrass-Murray Recreational Preserve (PMRP) > The Gallery,3.6,-1,Lead,Onsight,Sport,,70,4800
3/23/24,Murano,5.10b/c,"Good warm-up (but gets tricky higher up). Maybe repeat.

Easy until 2/3 of the way up. Surprisingly pumped, with hard crux for the grade.

Probably a good route for Jimmy to start one because of the “Red River Gorge” feel on the easy starting moves.",https://www.mountainproject.com/route/106125082/murano,1,Kentucky > Red River Gorge > Pendergrass-Murray Recreational Preserve (PMRP) > The Gallery,2.8,-1,Lead,Onsight,Sport,,75,3100
