RouteName,Location,URL,Avg Stars,Route Type,Rating
Pale Skinned Nebraskan (submitted as (Enter) Sandman),J. Jabba Buttress > East  Animas > Durango > Colorado,https://www.mountainproject.com/route/106460520/pale-skinned-nebraskan-submitted-as-enter-sandman,3.4,Sport,5.10a
Bolting for Jesus,Penthouse > Vallecito Crags > Durango > Colorado,https://www.mountainproject.com/route/108225701/bolting-for-jesus,3,Sport,5.10a
Party Barge,Lakeview > Vallecito Crags > Durango > Colorado,https://www.mountainproject.com/route/122074000/party-barge,2.9,Sport,5.10a
NIMBY,The Cube > Sailing Hawks > Durango > Colorado,https://www.mountainproject.com/route/118998304/nimby,3,Sport,5.10a
Goldbar Right,Loiterland > Sailing Hawks > Durango > Colorado,https://www.mountainproject.com/route/121952044/goldbar-right,3.2,Sport,5.10a
Insects n' Snails,Chipmunk > Junction Creek > Durango > Colorado,https://www.mountainproject.com/route/106821581/insects-n-snails,3,Sport,5.10a
Princess Ella`s Happy Ending,Waterfall Wall > Ouray vicinity (rock) > Colorado,https://www.mountainproject.com/route/107699244/princess-ellas-happy-ending,2.8,"Trad, Sport",5.10a
The Pillar,Main Amphitheater > Cougar > Steamboat Springs > Colorado,https://www.mountainproject.com/route/107213059/the-pillar,3.4,Sport,5.10a/b
Social Distance,Wax Museum > Steamboat Springs > Colorado,https://www.mountainproject.com/route/120029999/social-distance,3.1,Sport,5.10a
Floor Wax,Wax Museum > Steamboat Springs > Colorado,https://www.mountainproject.com/route/117402816/floor-wax,3,Sport,5.10a
Steep and Deep,The Practice Steeps > Ophir Wall > Ophir > Telluride/Norwood area > Colorado,https://www.mountainproject.com/route/124454307/steep-and-deep,3,Sport,5.10-
Groovin',The Practice Slabs > Ophir Wall > Ophir > Telluride/Norwood area > Colorado,https://www.mountainproject.com/route/124726884/groovin,3,Sport,5.10-
Great Scott,Piedra River -  Lower West > Piedra River > Pagosa Springs > Colorado,https://www.mountainproject.com/route/124465837/great-scott,4,Sport,5.10a
Taster's Choice,Piedra River -  Lower West > Piedra River > Pagosa Springs > Colorado,https://www.mountainproject.com/route/107281683/tasters-choice,2.8,Sport,5.10a
Tetrachromacy,Piedra River -  Lower West > Piedra River > Pagosa Springs > Colorado,https://www.mountainproject.com/route/124470197/tetrachromacy,3.8,Sport,5.10a/b
Cowboy Cave,Trujillo > Pagosa Springs > Colorado,https://www.mountainproject.com/route/109514108/cowboy-cave,3,Sport,5.10a
Welcome to the New Dark Ages,New Dark Ages Crag > Pagosa Springs > Colorado,https://www.mountainproject.com/route/120173680/welcome-to-the-new-dark-ages,3,Sport,5.10a/b
Aces High,Mount Royal (near Frisco) > 10 Mile Canyon > Colorado,https://www.mountainproject.com/route/107281739/aces-high,3.1,Sport,5.10-
Unknown,Sandstone Front of Canyon > Irish Canyon > Colorado,https://www.mountainproject.com/route/113830318/unknown,3,Sport,5.10a
Quasar,East Face > Gold Butte > Colorado,https://www.mountainproject.com/route/113453506/quasar,3,Sport,5.10a
Arm and Hammer,G. Pumphouse Right > Dolores River Canyon (Dove Creek) > Four Corners Area > Colorado,https://www.mountainproject.com/route/109591519/arm-and-hammer,3,Sport,5.10-
Kentucky Brown Plate,Habitado > Indian Creek > Southeast Utah > Utah,https://www.mountainproject.com/route/120625896/kentucky-brown-plate,2.8,Sport,5.10a
Nervous in Suburbia,Wall Street > Potash Road > Southeast Utah > Utah,https://www.mountainproject.com/route/105717502/nervous-in-suburbia,3.1,Sport,5.10a
"To Boo, or Not to Boo",The Theater > Take-Out Beach > River Road > Southeast Utah > Utah,https://www.mountainproject.com/route/112556981/to-boo-or-not-to-boo,2.9,Sport,5.10a
Men in Tights,The Cinema > Take-Out Beach > River Road > Southeast Utah > Utah,https://www.mountainproject.com/route/112542533/men-in-tights,3.3,Sport,5.10a
Magic Carpet Ride,The Sunny Side > Mill Creek > La Sal Mountains > Southeast Utah > Utah,https://www.mountainproject.com/route/106049215/magic-carpet-ride,3,Sport,5.10a
Evenflow,The Confluence > Mill Creek > La Sal Mountains > Southeast Utah > Utah,https://www.mountainproject.com/route/111958968/evenflow,3.3,Sport,5.10a
Spliff,Ganja Wall > Lower Dakota Crag > La Sal Mountains > Southeast Utah > Utah,https://www.mountainproject.com/route/122703609/spliff,3.2,Sport,5.10a
Time Will Tell,Trenchtown > Upper Dakota Crag > La Sal Mountains > Southeast Utah > Utah,https://www.mountainproject.com/route/110794201/time-will-tell,2.9,Sport,5.10a
Caress of Steel,The Membrane > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah,https://www.mountainproject.com/route/105739949/caress-of-steel,2.9,Sport,5.10a
Platinum Blonde,Hard Rock > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah,https://www.mountainproject.com/route/105742064/platinum-blonde,3,Sport,5.10a
Many Options,Hard Rock > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah,https://www.mountainproject.com/route/105885699/many-options,2.9,Sport,5.10a
Winds of Fire,Hard Rock > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah,https://www.mountainproject.com/route/106003242/winds-of-fire,3.6,Sport,5.10a
Denny’s Grand Slam,The Internet > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah,https://www.mountainproject.com/route/122379390/dennys-grand-slam,2.9,Sport,5.10a
Call it a Knight,Ed and Terry Wall > Rock Canyon > Southern Wasatch > Wasatch Range > Utah,https://www.mountainproject.com/route/105931238/call-it-a-knight,3.4,"Sport, TR",5.10a
If You Wanna Rock N' Roll,AC/DC Wall > Rock Canyon > Southern Wasatch > Wasatch Range > Utah,https://www.mountainproject.com/route/110304434/if-you-wanna-rock-n-roll,2.9,Sport,5.10a
The Right Stuff,Milky Way Wall > Galaxy Area > Rock Canyon > Southern Wasatch > Wasatch Range > Utah,https://www.mountainproject.com/route/106202793/the-right-stuff,2.9,Sport,5.10a
Leia's Leash,Tatooine > Galaxy Area > Rock Canyon > Southern Wasatch > Wasatch Range > Utah,https://www.mountainproject.com/route/106427306/leias-leash,3.3,Sport,5.10a
Santaqueen Prom Queen,Santaqueen Wall > Santaquin Canyon > Southern Wasatch > Wasatch Range > Utah,https://www.mountainproject.com/route/106453503/santaqueen-prom-queen,3,Sport,5.10a
Old school 1,The Original Wall > Hobble Creek Canyon > Southern Wasatch > Wasatch Range > Utah,https://www.mountainproject.com/route/107277218/old-school-1,3,"Trad, Sport",5.10a/b
Solar Flare,South-Facing Wall > The Hinterlands > Southern Wasatch > Wasatch Range > Utah,https://www.mountainproject.com/route/110137569/solar-flare,3.1,Sport,5.10a
The Viewing,Coffin Buttress > Little Cottonwood Canyon > Central Wasatch > Wasatch Range > Utah,https://www.mountainproject.com/route/105740639/the-viewing,3.4,Sport,5.10a R
Kermit's Wad,Kermits Wall > Little Cottonwood Canyon > Central Wasatch > Wasatch Range > Utah,https://www.mountainproject.com/route/105740690/kermits-wad,3,"Sport, TR",5.10a
Leggo My Eggo,The Egg > Little Cottonwood Canyon > Central Wasatch > Wasatch Range > Utah,https://www.mountainproject.com/route/105740990/leggo-my-eggo,2.9,Sport,5.10a
Cross Words,The Puzzle > Maybird Slide Area > Little Cottonwood Canyon > Central Wasatch > Wasatch Range > Utah,https://www.mountainproject.com/route/106185256/cross-words,3,Sport,5.10a
The Kind,Green Stash Wall > Cecret Lake > Albion Basin > Little Cottonwood Canyon > Central Wasatch > Wasatch Range > Utah,https://www.mountainproject.com/route/105990027/the-kind,2.9,Sport,5.10a
Cough Your Off,Green Stash Wall > Cecret Lake > Albion Basin > Little Cottonwood Canyon > Central Wasatch > Wasatch Range > Utah,https://www.mountainproject.com/route/105990023/cough-your-off,2.8,Sport,5.10a/b
Dream Slate,Narcolepsy Area > Big Cottonwood Canyon > Central Wasatch > Wasatch Range > Utah,https://www.mountainproject.com/route/105740204/dream-slate,3,Sport,5.10a
The Penguin,The Penguin > Big Cottonwood Canyon > Central Wasatch > Wasatch Range > Utah,https://www.mountainproject.com/route/107528649/the-penguin,3.1,Sport,5.10a
The Sands of Time,Mule Hollow Wall > Big Cottonwood Canyon > Central Wasatch > Wasatch Range > Utah,https://www.mountainproject.com/route/106563428/the-sands-of-time,3.2,Sport,5.10a
Battalion of Saints,Battalion of Saints Wall > Big Cottonwood Canyon > Central Wasatch > Wasatch Range > Utah,https://www.mountainproject.com/route/105989011/battalion-of-saints,3,Sport,5.10a
No Recess,Red Rock Wall > Big Cottonwood Canyon > Central Wasatch > Wasatch Range > Utah,https://www.mountainproject.com/route/106062161/no-recess,3.2,Sport,5.10a
The Fools Progress,Dark West Face > Back of Beyond > Big Cottonwood Canyon > Central Wasatch > Wasatch Range > Utah,https://www.mountainproject.com/route/107696757/the-fools-progress,3.1,Sport,5.10a
Fret Arête,Brighton's Frighton Wall > Brighton Area > Big Cottonwood Canyon > Central Wasatch > Wasatch Range > Utah,https://www.mountainproject.com/route/107700397/fret-arete,2.9,Sport,5.10a
Remote Learning,Quarantine Cliff > Big Cottonwood Canyon > Central Wasatch > Wasatch Range > Utah,https://www.mountainproject.com/route/124704103/remote-learning,2.9,Sport,5.10a
If The Fall Doesnt Kill You A Car Will,Hole in the Rock > Ogden Canyon > Ogden > Northern Wasatch > Wasatch Range > Utah,https://www.mountainproject.com/route/105962750/if-the-fall-doesnt-kill-you-a-car-will,3.2,Sport,5.10a/b
I Don't Roll On Shabbos!,Sunday Wall > The Schoolroom > Ogden > Northern Wasatch > Wasatch Range > Utah,https://www.mountainproject.com/route/111165994/i-dont-roll-on-shabbos,2.8,Sport,5.10-
Black Mouse Squeaks,Rodent Ranch > Logan Canyon > Cache Valley > Northern Wasatch > Wasatch Range > Utah,https://www.mountainproject.com/route/106593862/black-mouse-squeaks,3,Sport,5.10a
Sunhat Memo,Utopia > Logan Canyon > Cache Valley > Northern Wasatch > Wasatch Range > Utah,https://www.mountainproject.com/route/109518614/sunhat-memo,3.2,Sport,5.10a
Once You Go Black,Wall of Colors > Logan Canyon > Cache Valley > Northern Wasatch > Wasatch Range > Utah,https://www.mountainproject.com/route/112334678/once-you-go-black,3.4,Sport,5.10a
Pick Pocket,Ouch Wall > Green Canyon > Cache Valley > Northern Wasatch > Wasatch Range > Utah,https://www.mountainproject.com/route/122960196/pick-pocket,3,"Sport, TR",5.10a
Cacophony,Blob's Your Uncle > The Valley of Zion > Stansbury Mountains > West Desert > Utah,https://www.mountainproject.com/route/122346050/cacophony,3,Sport,5.10a
Give Me Fire,Wall 7 > The Valley of Zion > Stansbury Mountains > West Desert > Utah,https://www.mountainproject.com/route/111077366/give-me-fire,3,Sport,5.10a
Hells Staircase,Three Coffins > The Island > Stansbury Mountains > West Desert > Utah,https://www.mountainproject.com/route/118242026/hells-staircase,3,"Sport, TR",5.10-
Scorpios Make Great Lovers,Scorpion Slab > South Corridor > Ibex > West Desert > Utah,https://www.mountainproject.com/route/109847482/scorpios-make-great-lovers,2.9,"Sport, TR",5.10a
Adventures of the Two-Day Napkin,Campsite East > Hermit Canyon > Marjum Canyon > House Range > West Desert > Utah,https://www.mountainproject.com/route/107445598/adventures-of-the-two-day-napkin,2.9,Sport,5.10a
Gumby's Delight,Deuces > West Sawtooth Canyon > House Range > West Desert > Utah,https://www.mountainproject.com/route/112933493/gumbys-delight,3,Sport,5.10a
Gunsmoke,The Frontera > Maple Canyon Road > Maple Canyon > Central Utah > Utah,https://www.mountainproject.com/route/108253223/gunsmoke,2.9,Sport,5.10a
Flak Jacket,Bridge Area > Maple Canyon Road > Maple Canyon > Central Utah > Utah,https://www.mountainproject.com/route/106025644/flak-jacket,3,Sport,5.10a
Kingpin,Pictograph Wall > Left Fork > Maple Canyon > Central Utah > Utah,https://www.mountainproject.com/route/105855762/kingpin,2.8,Sport,5.10a
Headliner,Volkswagon Wall > Spring Canyon > Central Utah > Utah,https://www.mountainproject.com/route/113870387/headliner,3.3,Sport,5.10a
Codifirus,Garulean Wall > Redmond Rocks > Central Utah > Utah,https://www.mountainproject.com/route/114379031/codifirus,3,Sport,5.10a/b
Pecos Bill,Tall Tales Wall > Redmond Rocks > Central Utah > Utah,https://www.mountainproject.com/route/114379114/pecos-bill,3.3,Sport,5.10a
Ki'yatni,Yathamo Wall > Redmond Rocks > Central Utah > Utah,https://www.mountainproject.com/route/114478210/kiyatni,3,"Sport, TR",5.10a
Keres,Shoshone Wall > Nuwuvi Ledge > Central Utah > Utah,https://www.mountainproject.com/route/114437121/keres,3.5,"Sport, TR",5.10a
I Used to Be Hard,Jacob's Playpen > New Canyon > Central Utah > Utah,https://www.mountainproject.com/route/120456511/i-used-to-be-hard,3,Sport,5.10a
Colliewobbles,The Breakfast Nook > Snow Canyon State Park > Saint George > Southwest Utah > Utah,https://www.mountainproject.com/route/110564236/colliewobbles,2.9,Sport,5.10a
Welcome to Black Rocks,Shady Side > Black Rocks > Saint George > Southwest Utah > Utah,https://www.mountainproject.com/route/106665682/welcome-to-black-rocks,2.9,Sport,5.10a
Conditional Bliss,Prophesy Wall > Saint George > Southwest Utah > Utah,https://www.mountainproject.com/route/106603985/conditional-bliss,3.1,Sport,5.10a
Sunrise Buttress,Sunrise Buttress > Crawdad Canyon / Veyo > Saint George > Southwest Utah > Utah,https://www.mountainproject.com/route/106390601/sunrise-buttress,3.1,Sport,5.10a
Hard Cranking Dude,The Rubicon > Crawdad Canyon / Veyo > Saint George > Southwest Utah > Utah,https://www.mountainproject.com/route/107596226/hard-cranking-dude,3.1,Sport,5.10a
Lifesaver 360,Tetas De Cabre > Pine Valley > Saint George > Southwest Utah > Utah,https://www.mountainproject.com/route/107235012/lifesaver-360,2.9,Sport,5.10a
Flim Flam,Tetas De Cabre > Pine Valley > Saint George > Southwest Utah > Utah,https://www.mountainproject.com/route/107239544/flim-flam,2.9,Sport,5.10a
Criminal Mischief,Black and Tan > Woodbury Road Crags > Utah Hills > Saint George > Southwest Utah > Utah,https://www.mountainproject.com/route/112511890/criminal-mischief,2.8,Sport,5.10a/b
Behind The Beige Vinyl Curtain,The Solstice > Woodbury Road Crags > Utah Hills > Saint George > Southwest Utah > Utah,https://www.mountainproject.com/route/106359413/behind-the-beige-vinyl-curtain,2.8,Sport,5.10a
Old Pine,The Alley > Sunset Alley > Beaver Dam Road > Saint George > Southwest Utah > Utah,https://www.mountainproject.com/route/110583336/old-pine,3,Sport,5.10a
Lost in Leverage,The Shooting Gallery (upper canyon) > Cove Wash > Saint George > Southwest Utah > Utah,https://www.mountainproject.com/route/114122293/lost-in-leverage,3,Sport,5.10a
Slab route,Sunny Slabs > Cedar Canyon > Cedar City > Southwest Utah > Utah,https://www.mountainproject.com/route/106439635/slab-route,3,Sport,5.10a PG13
Seniors Rule,The Rest Home > Cedar Canyon > Cedar City > Southwest Utah > Utah,https://www.mountainproject.com/route/115368323/seniors-rule,3,Sport,5.10a
Show and Tell,School Room > The Running Scared Wall > Brian Head > Southwest Utah > Utah,https://www.mountainproject.com/route/120877010/show-and-tell,3.5,Sport,5.10a
